,ID,Number,Address,Latitude,Longitude,DistritoId,DistritoName,BarrioId,BarrioName,CardinalId,CardinalName,RegionId,RegionName
49,51,47,Glorieta de Embajadores nº 6,40.404785100000005,-3.7028265,2,Arganzuela,8,Acacias,3,S,3,S
50,52,48,Glorieta de Embajadores nº 2,40.405610700000004,-3.7022591,2,Arganzuela,8,Acacias,3,S,3,S
51,53,49,Ronda de Atocha nº 34,40.4060941,-3.6992759,2,Arganzuela,12,Palos de Moguer,3,S,3,S
52,54,50,Calle Santa Isabel nº 57,40.4083684,-3.6933462999999995,1,Centro,2,Embajadores,3,S,3,S
53,55,51,Ronda de Atocha nº 2,40.407560600000004,-3.6935205,2,Arganzuela,12,Palos de Moguer,3,S,3,S
54,56,52,Plaza de Santa Ana nº 10,40.4144226,-3.7007163999999997,1,Centro,2,Embajadores,3,S,4,S
55,57,53,Calle Valencia nº 1,40.4089282,-3.7008803,1,Centro,2,Embajadores,3,S,3,S
56,58,54,Calle Barceló nº 7,40.426682799999995,-3.7004230000000002,1,Centro,5,Universidad,0,O,0,O
57,59,55,Plaza de San Ildefonso nº 3,40.42397570000001,-3.7020842000000003,1,Centro,5,Universidad,0,O,0,O
58,60,56,Plaza del Carmen nº 1,40.4184192,-3.7032413999999996,1,Centro,6,Sol,0,O,0,O
59,61,57,Calle Santa Cruz del Marcenado nº 24,40.4295658,-3.7126299,1,Centro,5,Universidad,0,O,0,O
60,62,58,Calle Augusto Figueroa nº 33,40.4222862,-3.6978949999999995,1,Centro,4,Justicia,0,O,4,O
61,63,59,Calle Espíritu Santo nº 30,40.4255495,-3.7043418,1,Centro,5,Universidad,0,O,0,O
62,64,60,Plaza de la Independencia nº 6,40.419752,-3.6883980000000003,3,Retiro,18,Jerónimos,2,E,4,E
63,65,61,Calle O'Donnell nº 28,40.42139829999999,-3.6752045,3,Retiro,17,Ibiza,2,E,2,E
64,66,62,Calle O'Donnell nº 50,40.4213148,-3.6724968000000002,3,Retiro,17,Ibiza,2,E,2,E
65,67,63,Calle Ibiza nº 62,40.4179237,-3.6708959,3,Retiro,17,Ibiza,2,E,2,E
66,69,65,Calle Antonio Maura nº 15,40.416560499999996,-3.6904525,3,Retiro,18,Jerónimos,3,S,4,S
